,Sector,Climate,Health,Intersection,Year
0,banks,1.0,1.0,1.0,2023
1,chemicals,1.0,1.0,0.6,2023
2,construction & materials,0.0,1.0,0.0,2023
3,diversified,0.5,1.0,0.5,2023
4,industrial engineering,0.0,1.0,0.0,2023
5,industrial materials,1.0,1.0,0.0,2023
6,industrial support services,0.62,0.54,0.0,2023
7,media,1.0,1.0,0.0,2023
8,travel & leisure,0.0,1.0,0.0,2023
