,Year,Intersection (Prop)
0,2011.0,0.25
1,2012.0,0.5
2,2013.0,0.27
3,2014.0,0.18
4,2015.0,0.36
5,2016.0,0.29
6,2017.0,0.33
7,2018.0,0.36
8,2019.0,0.31
9,2020.0,0.62
10,2021.0,0.57
11,2022.0,0.56
12,2023.0,0.86
