,Year,Intersection (Prop)
0,2011.0,0.1
1,2012.0,0.25
2,2013.0,0.22
3,2014.0,0.14
4,2015.0,0.14
5,2016.0,0.14
6,2017.0,0.19
7,2018.0,0.25
8,2019.0,0.23
9,2020.0,0.26
10,2021.0,0.35
11,2022.0,0.4
12,2023.0,0.71
