,Sector,Climate,Health,Intersection,Year
0,diversified,1.0,1.0,1.0,2023
1,industrial metals and mining,0.0,1.0,0.0,2023
2,personal goods,0.0,0.0,0.0,2023
3,real estate investment & se...,1.0,1.0,0.0,2023
4,technology hardware & equip...,0.33,1.0,0.0,2023
