,Sector,intersection,climate,health
0,banks,1.0,29.0,33.0
1,beverages,0.0,4.0,64.0
2,construction & materials,2.0,9.0,27.0
3,diversified,1.0,2.0,9.0
4,financial services,0.0,14.0,85.0
5,food producers,1.0,1.0,8.0
6,household goods & home cons...,0.0,0.0,1.0
7,industrial materials,0.0,12.0,17.0
8,industrial metals & mining,2.0,73.0,123.0
9,not applicable,0.0,0.0,5.0
10,"oil, gas, & coal",0.0,1.0,66.0
11,software & computer services,0.0,0.0,5.0
12,technology hardware & equip...,0.0,0.0,9.0
