,Year,Intersection (Prop)
0,2011.0,0.29
1,2012.0,0.2
2,2013.0,0.45
3,2014.0,0.36
4,2015.0,0.32
5,2016.0,0.43
6,2017.0,0.41
7,2018.0,0.33
8,2019.0,0.36
9,2020.0,0.43
10,2021.0,0.48
11,2022.0,0.4
12,2023.0,0.9
