Year,total_docs,hits,documents,prop_doct
2011.0,3,0,0,0.0
2012.0,4,0,0,0.0
2013.0,6,0,0,0.0
2014.0,4,0,0,0.0
2015.0,4,0,0,0.0
2016.0,5,0,0,0.0
2017.0,2,1,1,0.5
2018.0,2,1,1,0.5
2019.0,3,1,1,0.33
2020.0,3,2,2,0.67
2021.0,9,3,2,0.22
2022.0,19,1,1,0.05
2023.0,26,26,14,0.54
