,Year,intersection
0,2011.0,6.0
1,2012.0,8.0
2,2013.0,19.0
3,2014.0,9.0
4,2015.0,15.0
5,2016.0,21.0
6,2017.0,33.0
7,2018.0,4.0
8,2019.0,44.0
9,2020.0,12.0
10,2021.0,23.0
11,2022.0,80.0
12,2023.0,127.0
