,Sector,intersection,health,climate
0,banks,2.0,56.0,102.0
1,diversified,0.0,53.0,94.0
2,finance and credit services,6.0,108.0,80.0
3,"gas, water & multiutilities",0.0,0.0,0.0
4,industrial metals and mining,2.0,84.0,81.0
5,not applicable,0.0,29.0,6.0
6,real estate investment & se...,0.0,2.0,0.0
7,software & computer services,5.0,102.5,107.0
