,Year,intersection
0,2011.0,47.0
1,2012.0,20.0
2,2013.0,17.0
3,2014.0,27.0
4,2015.0,35.0
5,2016.0,44.0
6,2017.0,46.0
7,2018.0,59.0
8,2019.0,86.0
9,2020.0,147.0
10,2021.0,347.0
11,2022.0,357.0
12,2023.0,352.0
