,Year,Intersection (Prop)
0,2011.0,0.18
1,2012.0,0.14
2,2013.0,0.11
3,2014.0,0.12
4,2015.0,0.12
5,2016.0,0.13
6,2017.0,0.13
7,2018.0,0.16
8,2019.0,0.19
9,2020.0,0.27
10,2021.0,0.36
11,2022.0,0.36
12,2023.0,0.48
