,Year,Intersection (Prop)
0,2011.0,0.16
1,2012.0,0.17
2,2013.0,0.16
3,2014.0,0.23
4,2015.0,0.23
5,2016.0,0.44
6,2017.0,0.35
7,2018.0,0.48
8,2019.0,0.43
9,2020.0,0.5
10,2021.0,0.64
11,2022.0,0.57
12,2023.0,0.82
