,HDI Level (2021),Year,intersection,climate,health,sum
0,Medium,2012.0,0.0,34.0,19.0,53.0
1,Medium,2015.0,0.0,0.0,0.0,0.0
2,Medium,2019.0,1.0,3.0,9.0,13.0
3,Medium,2020.0,0.0,2.0,11.0,13.0
4,Medium,2021.0,6.0,46.0,191.0,243.0
5,Medium,2022.0,3.0,60.0,247.0,310.0
6,Medium,2023.0,9.0,95.0,272.0,376.0
