,Year,Intersection (Prop)
0,2011.0,0.1
1,2012.0,0.18
2,2013.0,0.25
3,2014.0,0.16
4,2015.0,0.3
5,2016.0,0.39
6,2017.0,0.33
7,2018.0,0.18
8,2019.0,0.41
9,2020.0,0.18
10,2021.0,0.38
11,2022.0,0.44
12,2023.0,0.65
