Year,total_docs,hits,documents,prop_doct
2011.0,1,0,0,0.0
2012.0,3,0,0,0.0
2013.0,4,0,0,0.0
2014.0,3,0,0,0.0
2015.0,7,0,0,0.0
2016.0,7,1,1,0.14
2017.0,5,0,0,0.0
2018.0,3,0,0,0.0
2019.0,7,1,1,0.14
2020.0,3,0,0,0.0
2021.0,9,1,1,0.11
2022.0,12,3,2,0.17
2023.0,11,4,3,0.27
