,Sector,Climate,Health,Intersection,Year
0,aerospace & defense,0.0,1.0,0.0,2023
1,construction & materials,0.12,0.69,0.0,2023
2,electricity,0.0,0.0,0.0,2023
3,industrial engineering,1.0,1.0,0.0,2023
4,industrial metals and mining,0.0,0.5,0.0,2023
5,industrial support services,0.17,0.17,0.0,2023
6,not applicable,0.0,0.0,0.0,2023
7,"oil, gas, & coal",0.17,1.0,0.0,2023
8,software & computer services,0.33,0.0,0.0,2023
9,technology hardware & equip...,0.0,0.6,0.0,2023
