,Year,intersection
0,2011.0,41.0
1,2012.0,29.0
2,2013.0,42.0
3,2014.0,19.0
4,2015.0,56.0
5,2016.0,55.0
6,2017.0,29.0
7,2018.0,52.0
8,2019.0,46.0
9,2020.0,54.0
10,2021.0,110.0
11,2022.0,107.0
12,2023.0,364.0
