,Year,total_docs,hits,documents,prop_doct
0,2012.0,2,0,0,0.0
1,2013.0,1,0,0,0.0
2,2014.0,2,1,1,0.5
3,2015.0,5,0,0,0.0
4,2016.0,4,1,1,0.25
5,2017.0,4,0,0,0.0
6,2018.0,4,0,0,0.0
7,2019.0,7,0,0,0.0
8,2020.0,8,6,1,0.12
9,2021.0,12,0,0,0.0
10,2022.0,19,3,2,0.11
11,2023.0,16,8,4,0.25
