,Sector,intersection,health,climate
0,chemicals,6.0,36.0,38.0
1,diversified,9.0,292.0,319.0
2,electronic & electrical equ...,4.0,91.0,205.0
3,food producers,3.0,52.0,12.0
4,pharmaceuticals & biotechno...,59.0,258.0,60.0
5,software & computer services,10.0,127.0,168.0
