,Year,HDI Level (2021),Climate,Health,Intersection
0,2019.0,Very High,0.0,1.0,0.0
1,2020.0,Very High,0.0,1.0,0.0
2,2021.0,Very High,0.0,1.0,0.0
3,2022.0,Very High,0.0,1.0,0.0
