,Sector,intersection,health,climate
0,banks,0.0,1.0,2.5
1,construction & materials,1.0,7.0,1.0
2,finance and credit services,0.0,16.5,0.5
3,food producers,0.0,12.5,0.0
4,general industrials,0.0,4.0,1.0
5,industrial support services,0.0,0.0,0.0
6,personal goods,1.0,4.0,4.0
7,real estate investment & se...,0.0,15.0,3.0
8,travel & leisure,0.0,0.0,0.0
