,Year,intersection,health,climate
0,2012.0,0.0,6.0,0.0
1,2013.0,0.0,36.0,10.0
2,2014.0,0.0,11.0,0.0
3,2016.0,0.0,11.0,0.0
4,2017.0,5.0,101.0,63.0
5,2018.0,4.0,67.0,64.0
6,2019.0,3.0,119.0,78.0
7,2020.0,3.0,47.0,27.0
8,2021.0,4.0,226.0,98.0
9,2022.0,15.0,162.0,151.0
10,2023.0,10.0,111.0,112.0
