,Year,total_docs,hits,documents,prop_doct
0,2012.0,8,2,1,0.12
1,2013.0,7,2,1,0.14
2,2014.0,12,1,1,0.08
3,2015.0,12,0,0,0.0
4,2016.0,14,0,0,0.0
5,2017.0,13,0,0,0.0
6,2018.0,16,1,1,0.06
7,2019.0,18,1,1,0.06
8,2020.0,22,0,0,0.0
9,2021.0,38,7,4,0.11
10,2022.0,45,14,11,0.24
11,2023.0,57,29,18,0.32
