,Year,intersection
0,2011.0,25.0
1,2012.0,27.0
2,2013.0,29.0
3,2014.0,40.0
4,2015.0,32.0
5,2016.0,34.0
6,2017.0,37.0
7,2018.0,41.0
8,2019.0,70.0
9,2020.0,107.0
10,2021.0,241.0
11,2022.0,227.0
12,2023.0,429.0
