,HDI Level (2021),Year,intersection,climate,health,sum
0,Medium,2015.0,0.0,0.0,105.0,105.0
1,Medium,2016.0,1.0,13.0,302.0,316.0
2,Medium,2021.0,0.0,0.0,0.0,0.0
3,Medium,2022.0,0.0,0.0,13.0,13.0
4,Medium,2023.0,0.0,8.0,5.0,13.0
