,Year,Intersection (Prop)
0,2012.0,0.0
1,2013.0,0.0
2,2014.0,0.0
3,2015.0,0.0
4,2016.0,0.0
5,2017.0,0.2
6,2018.0,0.25
7,2019.0,0.12
8,2020.0,0.25
9,2021.0,0.71
10,2022.0,0.54
11,2023.0,0.44
