,Year,intersection
0,2011.0,64.0
1,2012.0,38.0
2,2013.0,71.0
3,2014.0,76.0
4,2015.0,69.0
5,2016.0,110.0
6,2017.0,148.0
7,2018.0,143.0
8,2019.0,194.0
9,2020.0,455.0
10,2021.0,857.0
11,2022.0,1077.0
12,2023.0,1257.0
