,Year,Intersection (Prop)
0,2011.0,0.23
1,2012.0,0.18
2,2013.0,0.17
3,2014.0,0.17
4,2015.0,0.2
5,2016.0,0.2
6,2017.0,0.23
7,2018.0,0.26
8,2019.0,0.2
9,2020.0,0.32
10,2021.0,0.48
11,2022.0,0.45
12,2023.0,0.7
