,Sector,intersection,health,climate
0,automobiles & parts,0.0,7.0,1.0
1,diversified,0.0,15.0,12.0
2,food producers,0.0,0.0,0.0
3,general industrials,8.0,76.0,32.0
4,"oil, gas, & coal",5.0,87.0,58.0
5,personal goods,5.0,48.5,35.5
6,software & computer services,10.0,127.0,168.0
7,travel & leisure,0.0,5.0,2.0
