,Year,total_docs,hits,documents,prop_doct
0,2012.0,195,12,5,0.03
1,2013.0,192,12,7,0.04
2,2014.0,217,12,8,0.04
3,2015.0,257,6,5,0.02
4,2016.0,273,11,10,0.04
5,2017.0,298,29,20,0.07
6,2018.0,356,34,23,0.06
7,2019.0,416,60,42,0.1
8,2020.0,548,84,55,0.1
9,2021.0,1103,213,141,0.13
10,2022.0,1284,277,181,0.14
11,2023.0,1489,756,377,0.25
