,Year,total_docs,hits,documents,prop_doct
0,2012.0,24,1,1,0.04
1,2013.0,37,2,2,0.05
2,2014.0,24,0,0,0.0
3,2015.0,36,0,0,0.0
4,2016.0,33,2,2,0.06
5,2017.0,47,9,6,0.13
6,2018.0,51,7,4,0.08
7,2019.0,74,19,12,0.16
8,2020.0,107,14,12,0.11
9,2021.0,221,60,41,0.19
10,2022.0,280,81,54,0.19
11,2023.0,203,124,67,0.33
