,Sector,intersection,health,climate
0,banks,2.5,30.5,57.0
1,beverages,7.5,40.0,128.5
2,chemicals,4.0,18.0,29.0
3,construction & materials,0.0,8.0,24.0
4,diversified,14.5,206.5,174.5
5,electricity,5.0,39.0,79.0
6,electronic & electrical equ...,1.0,7.0,5.0
7,finance and credit services,6.0,83.0,68.0
8,food producers,3.0,60.0,35.0
9,industrial support services,1.5,13.5,15.5
10,not applicable,0.0,0.0,2.5
11,telecommunications equipment; telecommunications service providers,4.0,107.0,86.0
