,Year,intersection
0,2011.0,20.0
1,2012.0,28.0
2,2013.0,21.0
3,2014.0,41.0
4,2015.0,33.0
5,2016.0,42.0
6,2017.0,45.0
7,2018.0,39.0
8,2019.0,34.0
9,2020.0,78.0
10,2021.0,219.0
11,2022.0,269.0
12,2023.0,486.0
