,Sector,Climate,Health,Intersection,Year
0,electronic & electrical equ...,0.0,1.0,0.0,2023
1,industrial support services,1.0,1.0,0.5,2023
2,"oil, gas, & coal",1.0,1.0,0.0,2023
3,pharmaceuticals & biotechno...,0.0,1.0,0.0,2023
