,Sector,intersection,health,climate
0,banks,24.0,74.0,68.0
1,beverages,11.0,59.0,75.0
2,construction & materials,1.0,57.0,18.0
3,diversified,4.0,88.0,25.0
4,finance and credit services,0.0,9.0,7.0
5,not applicable,1.0,15.5,3.0
6,"oil, gas, & coal",5.0,33.5,104.5
7,software & computer services,10.0,127.0,168.0
8,telecommunications equipment; telecommunications service providers,5.0,73.0,41.0
