,Year,LC_grouping,Climate,Health,Intersection
0,2016.0,Africa,0.0,1.0,0.0
1,2017.0,Africa,0.0,1.0,0.0
2,2018.0,Africa,0.0,1.0,0.0
3,2019.0,Africa,0.0,1.0,0.0
4,2020.0,Africa,0.0,1.0,0.0
5,2021.0,Africa,0.0,1.0,0.0
6,2022.0,Africa,0.0,1.0,0.0
