,Sector,intersection,health,climate
0,banks,0.0,2.0,0.0
1,construction & materials,0.0,7.0,9.0
2,diversified,7.25,66.0,61.25
3,finance and credit services,1.0,23.5,18.5
4,food producers,0.0,0.0,0.0
5,general industrials,41.0,197.0,133.0
6,nonlife insurance,0.0,37.0,1.0
7,not applicable,0.0,0.0,5.0
8,pharmaceuticals & biotechno...,44.0,449.0,209.0
9,real estate investment & se...,0.0,19.0,3.0
10,retailers,0.0,48.0,0.0
