,Year,Intersection (Prop)
0,2011.0,0.3
1,2012.0,0.32
2,2013.0,0.13
3,2014.0,0.18
4,2015.0,0.18
5,2016.0,0.26
6,2017.0,0.3
7,2018.0,0.25
8,2019.0,0.3
9,2020.0,0.35
10,2021.0,0.45
11,2022.0,0.45
12,2023.0,0.67
