Year,total_docs,hits,documents,prop_doct
2011.0,7,0,0,0.0
2012.0,9,1,1,0.11
2013.0,4,0,0,0.0
2014.0,6,0,0,0.0
2015.0,7,0,0,0.0
2016.0,11,0,0,0.0
2017.0,13,0,0,0.0
2018.0,9,1,1,0.11
2019.0,11,0,0,0.0
2020.0,18,4,3,0.17
2021.0,39,2,2,0.05
2022.0,43,14,5,0.12
2023.0,52,6,4,0.08
