,Sector,intersection,health,climate
0,electronic & electrical equ...,0.0,7.0,1.0
1,household goods & home cons...,23.0,195.0,152.0
2,media,5.0,19.0,5.0
3,personal goods,0.0,10.0,8.0
4,software & computer services,6.0,82.5,101.5
