,Year,Intersection (Prop)
0,2011.0,0.29
1,2012.0,0.25
2,2013.0,0.29
3,2014.0,0.43
4,2015.0,0.32
5,2016.0,0.29
6,2017.0,0.35
7,2018.0,0.48
8,2019.0,0.44
9,2020.0,0.53
10,2021.0,0.59
11,2022.0,0.6
12,2023.0,0.77
