,Sector,intersection,health,climate
0,banks,2.0,52.0,19.0
1,construction & materials,4.0,51.0,38.0
2,diversified,1.0,15.5,18.5
3,finance and credit services,5.5,54.0,100.0
4,food producers,5.5,67.5,27.0
5,general industrials,0.0,27.0,21.0
6,industrial metals and mining,2.0,84.33,84.67
7,"oil, gas, & coal",1.0,25.0,69.0
8,software & computer services,0.0,6.5,0.0
9,telecommunications equipment; telecommunications service providers,2.0,43.0,25.0
