,Sector,Climate,Health,Intersection,Year
0,construction & materials,0.5,1.0,0.0,2023
1,financial services,0.5,0.5,0.0,2023
2,general industrials,1.0,1.0,0.0,2023
3,industrial support services,0.0,0.5,0.0,2023
