Year,total_docs,hits,documents,prop_doct
2011.0,7,2,1,0.14
2012.0,9,2,1,0.11
2013.0,5,2,1,0.2
2014.0,12,2,1,0.08
2015.0,10,2,1,0.1
2016.0,7,2,1,0.14
2017.0,5,2,1,0.2
2018.0,6,2,1,0.17
2019.0,6,0,0,0.0
2020.0,7,2,1,0.14
2021.0,16,2,1,0.06
2022.0,11,3,2,0.18
2023.0,26,13,6,0.23
