Year,total_docs,hits,documents,prop_doct
2011.0,25,1,1,0.04
2012.0,36,2,2,0.06
2013.0,28,0,0,0.0
2014.0,32,5,3,0.09
2015.0,28,11,2,0.07
2016.0,22,2,2,0.09
2017.0,33,5,3,0.09
2018.0,24,4,3,0.12
2019.0,25,2,2,0.08
2020.0,21,2,1,0.05
2021.0,47,4,4,0.09
2022.0,66,3,2,0.03
2023.0,63,12,5,0.08
