,Sector,Climate,Health,Intersection,Year
0,beverages,1.0,1.0,0.0,2023
1,construction & materials,1.0,1.0,0.2,2023
2,electronic & electrical equ...,0.0,1.0,0.0,2023
3,general industrials,1.0,1.0,0.0,2023
4,industrial engineering,0.86,1.0,0.14,2023
5,industrial support services,0.67,0.0,0.0,2023
6,retailers,1.0,1.0,0.0,2023
