,Sector,intersection,health,climate
0,banks,0.0,24.0,16.0
1,construction & materials,0.33,29.33,2.67
2,electricity,4.0,74.0,67.0
3,finance and credit services,0.0,13.5,7.0
4,food producers,0.0,8.0,8.0
5,general industrials,0.0,0.0,0.0
6,industrial metals and mining,1.0,98.0,24.0
7,not applicable,0.0,24.0,0.0
8,"oil, gas, & coal",1.0,157.0,212.0
9,personal goods,0.0,0.0,0.0
10,telecommunications equipment; telecommunications service providers,1.0,9.0,6.0
