,Sector,intersection,climate,health
0,banks,6.0,54.0,47.0
1,construction & materials,0.0,29.0,70.0
2,financial services,0.0,0.0,0.0
3,industrial materials,4.0,71.0,147.0
4,industrial support services,0.0,18.0,48.0
5,industrial transportation,0.0,11.0,53.0
6,media,0.0,0.0,45.0
7,medical equipment and services; health care providers,0.0,0.0,3.0
8,software & computer services,0.0,0.0,5.0
9,travel & leisure,0.0,9.0,16.0
