,Year,total_docs,hits,documents,prop_doct
0,2012.0,16,0,0,0.0
1,2013.0,19,2,1,0.05
2,2014.0,20,3,1,0.05
3,2015.0,9,0,0,0.0
4,2016.0,17,2,1,0.06
5,2017.0,27,3,2,0.07
6,2018.0,26,3,3,0.12
7,2019.0,24,0,0,0.0
8,2020.0,25,2,1,0.04
9,2021.0,63,7,3,0.05
10,2022.0,40,8,5,0.12
11,2023.0,38,10,8,0.21
