,Sector,intersection,health,climate
0,diversified,2.5,80.0,78.5
1,electricity,0.0,39.0,17.0
2,finance and credit services,4.0,102.5,50.5
3,industrial metals and mining,11.75,138.5,79.0
4,industrial support services,0.0,3.0,1.0
5,industrial transportation,4.0,167.0,31.0
6,not applicable,0.0,0.0,0.0
7,"oil, gas, & coal",17.0,128.5,201.5
