,HDI Level (2021),Year,intersection,climate,health,sum
0,Medium,2012.0,0.0,1.0,8.0,9.0
1,Medium,2013.0,0.0,1.0,10.0,11.0
2,Medium,2015.0,2.0,2.0,12.0,16.0
3,Medium,2016.0,0.0,0.0,6.0,6.0
4,Medium,2017.0,0.0,10.0,113.0,123.0
5,Medium,2018.0,0.0,2.0,50.0,52.0
6,Medium,2019.0,0.0,0.0,0.0,0.0
7,Medium,2020.0,0.0,4.0,117.0,121.0
8,Medium,2021.0,1.0,5.0,94.0,100.0
9,Medium,2022.0,2.0,3.0,69.0,74.0
10,Medium,2023.0,0.0,0.0,60.0,60.0
