,Sector,intersection,climate,health
0,construction & materials,0.0,0.0,0.0
1,electronic & electrical equ...,0.0,0.0,1.0
2,general industrials,11.0,21.0,13.0
3,industrial support services,0.0,1.0,4.0
4,"oil, gas, & coal",0.0,21.0,83.0
5,software & computer services,0.0,0.0,0.0
6,technology hardware & equip...,0.0,5.0,9.0
